internal_complex_id,complex_name,sigungu,dong,households,approval_date,apartment_age,parking_total,parking_per_household,transactions_3m,transactions_6m,transactions_12m,area_variety,latitude,longitude,road_address,provisional,turnover_12m,price_84,price_84_per_3_3sqm,price_change_3m,price_change_6m,price_change_12m,rolling_peak,drawdown_from_peak,rolling_trough,recovery_from_trough,sample_count,low_sample_flag,p_households,p_turnover,p_price_84,p_area_variety,representative_score,scope,rank
A61778507,쌍용스윗닷홈,사상구,엄궁동,607.0,2005-11-24,20,615.0,1.013179571663921,2.0,5.0,14.0,3,35.1250308671541,128.976622970664,부산광역시 사상구 엄궁로 100,True,0.023064250411861616,260000000.0,10098406.499701638,,-0.11864406779661019,-0.01666666666666672,385000000.0,-0.3246753246753247,240000000.0,0.08333333333333326,1.0,True,0.6666666666666666,0.5833333333333334,0.8,0.75,0.6875,dong,3.0
A61780802,사상강변동원,사상구,괘법동,600.0,1999-12-03,26,617.0,1.0283333333333333,6.0,13.0,28.0,3,35.1666822659555,128.978103908759,부산광역시 사상구 낙동대로1210번길 34,True,0.04666666666666667,352000000.0,13688427.99905727,0.015873015873015817,0.059633027522935755,0.004477611940298498,400000000.0,-0.22499999999999998,285000000.0,0.08771929824561409,6.0,False,0.8,0.6,0.6,0.9387755102040817,0.7108163265306122,dong,3.0
A61781005,자유,사상구,덕포동,780.0,1989-07-20,37,382.0,0.4897435897435897,5.0,11.0,21.0,6,35.1800236911017,128.988750208023,부산광역시 사상구 백양대로 820,True,0.026923076923076925,,,,0.2969696969696969,0.028493894165535938,215000000.0,-0.0046511627906976605,134000000.0,0.5970149253731343,1.0,True,0.9230769230769231,0.46153846153846156,,1.0,0.5653846153846154,dong,4.0
A61781201,남영,사상구,덕포동,400.0,1993-07-03,33,118.0,0.295,2.0,8.0,18.0,2,35.1704770303418,128.989051453797,부산광역시 사상구 백양대로 716,True,0.045,,,,,,,,,,,,0.46153846153846156,0.9230769230769231,,0.3888888888888889,0.47371794871794876,dong,5.0
A61781803,화인,사상구,모라동,245.0,1995-04-24,31,175.0,0.7142857142857143,2.0,6.0,11.0,3,35.190158656909,128.993406032582,부산광역시 사상구 백양대로934번길 48,True,0.044897959183673466,,,,,,197500000.0,-0.17721518987341767,160000000.0,0.015625,0.0,True,0.5,0.875,,0.8703703703703703,0.5430555555555555,dong,5.0
A61781805,모라벽산,사상구,모라동,780.0,2001-09-15,24,797.0,1.0217948717948717,4.0,7.0,20.0,3,35.1916790424881,128.994105140325,부산광역시 사상구 백양대로934번길 84,True,0.02564102564102564,223000000.0,8667844.522968197,0.020594965675057253,0.05119047619047623,0.08271604938271615,260000000.0,-0.14230769230769236,185000000.0,0.2054054054054053,2.0,True,0.6875,0.5,0.5,0.8703703703703703,0.6118055555555555,dong,4.0
A61781807,모라동원타운,사상구,모라동,1110.0,1989-07-31,37,620.0,0.5585585585585585,1.0,15.0,33.0,3,35.1840225616711,128.989928866593,부산광역시 사상구 백양대로 879,True,0.02972972972972973,,,,-0.03441295546558709,0.11386696730552415,305000000.0,-0.1885245901639344,177500000.0,0.3943661971830985,5.0,False,0.9375,0.6875,,0.8703703703703703,0.6180555555555556,dong,3.0
A61781808,우신모라,사상구,모라동,1620.0,1992-06-16,34,866.0,0.5345679012345679,11.0,23.0,53.0,3,35.1831129739702,128.991284797338,부산광역시 사상구 백양대로 880,True,0.03271604938271605,,,,,,,,,,,,1.0,0.75,,0.8703703703703703,0.6555555555555554,dong,2.0
A61782802,삼성타워,사상구,엄궁동,208.0,1993-11-13,32,139.0,0.6682692307692307,2.0,4.0,8.0,2,35.1349025228323,128.977692717283,부산광역시 사상구 대동로64번길 40,True,0.038461538461538464,98000000.0,3825408.0908445707,-0.21599999999999997,-0.14230769230769236,-0.03100775193798455,165000000.0,-0.406060606060606,98000000.0,0.0,2.0,True,0.25,1.0,0.2,0.5,0.5,dong,5.0
A61783202,엘지신주례2,사상구,주례동,874.0,1996-10-26,29,931.0,1.065217391304348,8.0,13.0,27.0,3,35.1538797351637,129.012849826569,부산광역시 사상구 백양대로342번길 17,True,0.030892448512585814,265000000.0,10291504.360208537,-0.07017543859649122,-0.038461538461538436,-0.018932874354561147,347500000.0,-0.237410071942446,245000000.0,0.08163265306122458,4.0,False,0.7272727272727273,0.7727272727272727,0.7777777777777778,0.7317073170731707,0.75420054200542,dong,4.0
A61784208,신구덕우성,사상구,학장동,763.0,2000-09-04,25,769.0,1.0078636959370904,4.0,7.0,18.0,5,35.1400838571199,128.986955453872,부산광역시 사상구 학감대로 109-16,True,0.023591087811271297,256000000.0,9942332.587972226,,0.050256410256410255,0.05785123966942152,284000000.0,-0.102112676056338,210000000.0,0.2142857142857142,2.0,True,0.6875,0.75,0.8571428571428571,1.0,0.7955357142857142,dong,1.0
A61823002,지사금강펜테리움,강서구,지사동,1111.0,2013-11-19,12,1117.0,1.0054005400540054,18.0,37.0,61.0,1,35.1508946511378,128.838986989043,부산광역시 강서구 과학산단2로20번길 69,True,0.05490549054905491,,,,,,,,,,,,0.75,0.75,,0.375,0.50625,dong,2.0
A61829001,부산신호윌더하임,강서구,신호동,671.0,2005-11-07,20,863.0,1.286140089418778,1.0,10.0,30.0,3,35.0885594778617,128.878041264508,부산광역시 강서구 신호삼로 55,True,0.044709388971684055,,,,-0.08695652173913049,-0.022727272727272707,275000000.0,-0.23636363636363633,170000000.0,0.23529411764705888,5.0,False,0.3333333333333333,1.0,,1.0,0.5499999999999999,dong,2.0
A61872201,부산신호사랑으로부영1차,강서구,신호동,1064.0,2013-12-31,12,1077.0,1.012218045112782,0.0,0.0,1.0,1,35.088453806298,128.873729281805,부산광역시 강서구 신호삼로 27,True,0.0009398496240601503,,,,,,,,,,,,0.6666666666666666,0.3333333333333333,,0.5,0.375,dong,3.0
A61872202,부산신호사랑으로부영2차,강서구,신호동,1388.0,2014-06-26,12,1633.0,1.1765129682997117,1.0,1.0,4.0,1,35.0871199542696,128.873657869992,부산광역시 강서구 신호사로 27,True,0.002881844380403458,,,,,,,,,,,,1.0,0.6666666666666666,,0.5,0.575,dong,1.0
A61970112,현대,기장군,기장읍청강리,930.0,1993-08-23,33,510.0,0.5483870967741935,6.0,10.0,22.0,2,35.245345416724,129.220416678578,부산광역시 기장군 기장대로 563,True,0.023655913978494623,266750000.0,10405141.843971632,0.018129770992366456,-0.06093189964157708,-0.14126984126984132,434000000.0,-0.2857142857142857,200000000.0,0.55,4.0,False,1.0,0.4,1.0,0.7,0.7749999999999999,dong,1.0
A61970210,우신네오빌,기장군,기장읍청강리,524.0,2003-05-19,23,522.0,0.9961832061068703,2.0,6.0,17.0,4,35.2384340051543,129.223042066895,부산광역시 기장군 청강로 76,True,0.03244274809160305,215000000.0,8348158.81622049,0.023809523809523725,-0.05555555555555558,-0.04347826086956519,295000000.0,-0.27118644067796616,194500000.0,0.1053984575835476,2.0,True,0.6,0.6,0.6666666666666666,1.0,0.6766666666666666,dong,2.0
A61970311,서부주공,기장군,기장읍서부리,702.0,2001-05-30,25,604.0,0.8603988603988604,3.0,10.0,18.0,2,35.244691959165,129.209469631691,부산광역시 기장군 차성서로 123,True,0.02564102564102564,,,,,,,,,,,,1.0,1.0,,0.8,0.72,dong,1.0
A61987102,고촌센트럴아파트,기장군,철마면고촌리,474.0,2014-01-03,12,524.0,1.1054852320675106,0.0,2.0,10.0,1,35.2371621692343,129.169975016589,부산광역시 기장군 고촌로 11,True,0.02109704641350211,,,,-0.032761310452418146,-0.053254437869822535,457500000.0,-0.34426229508196726,210000000.0,0.4285714285714286,2.0,True,1.0,1.0,,0.5,0.6749999999999999,dong,1.0
A61990105,문화그린맨션,기장군,기장읍교리,299.0,1993-05-13,33,205.0,0.68561872909699,1.0,3.0,8.0,2,35.2560719877201,129.21504411452,부산광역시 기장군 차성로417번길 21,True,0.026755852842809364,136000000.0,5334284.186129434,-0.02857142857142858,-0.19650655021834063,-0.06906906906906907,211000000.0,-0.35545023696682465,120000000.0,0.1333333333333333,2.0,True,0.6666666666666666,0.3333333333333333,0.25,0.5294117647058824,0.44191176470588234,dong,4.0
A61990106,태영,기장군,기장읍교리,454.0,1995-11-30,30,231.0,0.5088105726872246,3.0,5.0,12.0,2,35.2553883195552,129.218175685905,부산광역시 기장군 차성로441번길 7,True,0.02643171806167401,200000000.0,7766990.291262136,0.11111111111111116,,-0.1460674157303371,260000000.0,-0.23076923076923073,162000000.0,0.23456790123456783,2.0,True,0.8333333333333334,0.16666666666666666,0.75,0.5294117647058824,0.5669117647058823,dong,2.0
