internal_complex_id,complex_name,sigungu,dong,households,approval_date,apartment_age,parking_total,parking_per_household,transactions_3m,transactions_6m,transactions_12m,area_variety,latitude,longitude,road_address,provisional,turnover_12m,price_84,price_84_per_3_3sqm,price_change_3m,price_change_6m,price_change_12m,rolling_peak,drawdown_from_peak,rolling_trough,recovery_from_trough,sample_count,low_sample_flag,discount_vs_dong_mean,watch_label
A60481001,신익타운,사하구,괴정동,228.0,1991-04-23,35,144.0,0.631578947368421,0.0,1.0,1.0,5,35.098352966658,128.998804115049,부산광역시 사하구 오작로 46,True,0.0043859649122807015,,,,,,184000000.0,-0.2663043478260869,125000000.0,0.08000000000000007,0.0,True,,데이터 기반 노후단지
A60481002,신괴정화신아파트,사하구,괴정동,270.0,1990-03-31,36,187.0,0.6925925925925925,0.0,3.0,6.0,5,35.0992782463789,128.999413790074,부산광역시 사하구 오작로 68,True,0.022222222222222223,,,,,-0.1875,185000000.0,-0.29729729729729726,110000000.0,0.18181818181818188,3.0,False,,데이터 기반 노후단지
A60481203,국제,사하구,괴정동,176.0,1985-06-05,41,150.0,0.8522727272727273,0.0,1.0,2.0,2,35.0947645574797,128.991807753275,부산광역시 사하구 사하로141번길 20,True,0.011363636363636364,,,,,-0.3411371237458194,335000000.0,-0.4119402985074627,197000000.0,0.0,0.0,True,,데이터 기반 노후단지
A60481206,우신타워아파트,사하구,괴정동,250.0,1989-10-12,36,150.0,0.6,2.0,2.0,5.0,3,35.0940384070786,128.9891943234,부산광역시 사하구 사하로141번나길 35-4,True,0.02,133000000.0,5176317.9620238235,,0.04313725490196085,0.05555555555555558,158000000.0,-0.15822784810126578,100000000.0,0.33000000000000007,1.0,True,-0.02564102564102566,데이터 기반 노후단지
A60481601,동진그린힐,사하구,괴정동,207.0,1995-06-08,31,139.0,0.6714975845410628,2.0,4.0,8.0,3,35.0965666850898,128.980775002903,부산광역시 사하구 장평로 378,True,0.03864734299516908,140000000.0,5438493.231312536,,-0.2178770949720671,-0.08205128205128209,202000000.0,-0.306930693069307,135000000.0,0.03703703703703698,1.0,True,0.02564102564102555,데이터 기반 노후단지
A60482013,몰운대,사하구,다대동,2960.0,1996-01-10,30,1461.0,0.49358108108108106,25.0,48.0,109.0,1,35.0516293768853,128.966106194759,부산광역시 사하구 다대낙조2길 12,True,0.03682432432432432,,,,,,,,,,,,,데이터 기반 노후단지
A60482902,우림그린맨션,사하구,당리동,194.0,1991-05-27,35,175.0,0.9020618556701031,1.0,1.0,2.0,2,35.1097668210744,128.978416943787,부산광역시 사하구 제석로95번길 22-5,True,0.010309278350515464,136000000.0,5293701.344656758,,0.007407407407407307,0.02264150943396226,160000000.0,-0.15000000000000002,118000000.0,0.15254237288135597,1.0,True,0.008060780135272783,데이터 기반 노후단지
A60483203,신평삼익아파트,사하구,신평동,312.0,1989-05-30,37,87.0,0.27884615384615385,2.0,5.0,9.0,4,35.0940000071703,128.974009012869,부산광역시 사하구 장평로 311,True,0.028846153846153848,,,,,,150000000.0,0.0,126000000.0,0.19047619047619047,0.0,True,,데이터 기반 노후단지
A60483404,한신,사하구,신평동,937.0,1993-12-14,32,739.0,0.7886872998932765,3.0,11.0,29.0,3,35.0970527267283,128.965872629359,부산광역시 사하구 비봉로 42,True,0.030949839914621132,163000000.0,6331214.689265537,0.13194444444444442,-0.033333333333333326,-0.026666666666666616,170000000.0,-0.04117647058823526,125000000.0,0.30400000000000005,9.0,False,-0.04188096987509182,데이터 기반 노후단지
A60484001,장림현대(60-42),사하구,장림동,152.0,1995-07-15,31,111.0,0.7302631578947368,0.0,3.0,7.0,3,35.0787377276337,128.980856441858,부산광역시 사하구 두송로 47,True,0.046052631578947366,,,,0.008264462809917328,-0.0546875,149000000.0,-0.09395973154362414,105000000.0,0.2857142857142858,2.0,True,,데이터 기반 노후단지
A60484003,동원타워,사하구,장림동,216.0,1993-11-18,32,147.0,0.6805555555555556,2.0,6.0,9.0,2,35.0758782963308,128.980661132354,부산광역시 사하구 다대로277번길 56,True,0.041666666666666664,129000000.0,5016497.761018148,0.11447084233261329,0.06660861993905098,-0.07869481765834929,152000000.0,-0.125,100000000.0,0.33000000000000007,5.0,False,0.11829510565288048,데이터 기반 노후단지
A60484004,장림우림그린맨션,사하구,장림동,255.0,1992-01-28,34,166.0,0.6509803921568628,0.0,1.0,7.0,2,35.0789046991948,128.979213345887,부산광역시 사하구 두송로 25,True,0.027450980392156862,,,,,0.05859375,170000000.0,-0.05294117647058827,95000000.0,0.6947368421052631,0.0,True,,데이터 기반 노후단지
A60484607,국제마마,사하구,장림동,288.0,1993-09-06,32,139.0,0.4826388888888889,4.0,6.0,8.0,2,35.0707155860485,128.97076106908,부산광역시 사하구 장평로41번길 51,True,0.027777777777777776,89000000.0,3459975.2606467567,,-0.19090909090909092,-0.061320754716981174,142000000.0,-0.37323943661971826,89000000.0,0.0,1.0,True,-0.2284630666425863,데이터 기반 노후단지
A60484612,벽산아파트,사하구,장림동,450.0,1992-09-09,33,234.0,0.52,1.0,3.0,10.0,5,35.0689911277764,128.972591681397,부산광역시 사하구 장평로41번길 19,True,0.022222222222222223,,,,,-0.09917355371900827,159000000.0,-0.3144654088050315,105000000.0,0.03809523809523818,0.0,True,,데이터 기반 노후단지
A60485510,자유,사하구,괴정동,320.0,1982-09-01,44,369.0,1.153125,1.0,2.0,6.0,2,35.097783465162,128.989127859139,부산광역시 사하구 낙동대로 263,True,0.01875,,,,,,490000000.0,-0.23469387755102045,350000000.0,0.0714285714285714,0.0,True,,데이터 기반 노후단지
A60605201,영광그린,영도구,신선동2가,209.0,1993-12-30,32,135.0,0.645933014354067,1.0,1.0,3.0,4,35.0840327464745,129.04700975547,부산광역시 영도구 중복길 270,True,0.014354066985645933,100000000.0,3889216.263995286,,,-0.3548387096774194,170000000.0,-0.4117647058823529,100000000.0,0.0,1.0,True,0.0,데이터 기반 노후단지
A60608001,벽산비치,영도구,동삼동,414.0,1995-06-10,31,535.0,1.2922705314009661,1.0,7.0,17.0,3,35.0754307334395,129.069474367541,부산광역시 영도구 와치로 266,True,0.04106280193236715,,,,-0.022471910112359605,0.07317073170731714,255000000.0,-0.1470588235294118,188000000.0,0.15691489361702127,2.0,True,,데이터 기반 노후단지
A60608002,조양비취맨션,영도구,동삼동,630.0,1985-12-21,40,320.0,0.5079365079365079,2.0,2.0,6.0,3,35.0709375752394,129.070767885546,부산광역시 영도구 절영로 504,True,0.009523809523809525,,,,,,,,,,,,,데이터 기반 노후단지
A60608106,반도보라비치타운,영도구,동삼동,320.0,1994-11-14,31,353.0,1.103125,3.0,8.0,13.0,2,35.0718028893525,129.060358052407,부산광역시 영도구 함지로 19,True,0.040625,,,,-0.138235294117647,-0.12483912483912485,265000000.0,-0.4981132075471698,133000000.0,0.0,2.0,True,,데이터 기반 노후단지
A60608303,동삼그린힐,영도구,동삼동,2088.0,1993-09-22,32,913.0,0.43726053639846746,10.0,24.0,54.0,2,35.0856395176363,129.069877449987,부산광역시 영도구 상리로 1,True,0.02586206896551724,,,,,,,,,,,,,데이터 기반 노후단지
A60673703,일신마리나,영도구,청학동,355.0,1994-01-11,32,270.0,0.7605633802816901,1.0,5.0,9.0,4,35.0869066625643,129.063036793119,부산광역시 영도구 조내기로 33,True,0.02535211267605634,,,,-0.09777777777777774,-0.2637931034482759,169000000.0,-0.42307692307692313,97500000.0,0.0,3.0,False,,데이터 기반 노후단지
A60675110,함지그린,영도구,동삼동,1000.0,1994-05-06,32,550.0,0.55,8.0,18.0,35.0,2,35.0712895362543,129.061998563801,부산광역시 영도구 함지로 8,True,0.035,,,,,,,,,,,,,데이터 기반 노후단지
A60675701,대동대교맨션,영도구,대평동1가,462.0,1980-08-30,46,288.0,0.6233766233766234,0.0,1.0,1.0,4,35.0911570054442,129.035937887166,부산광역시 영도구 대평로 16,True,0.0021645021645021645,,,,,,530000000.0,-0.5283018867924528,250000000.0,0.0,1.0,True,,데이터 기반 노후단지
A60675801,미광마린타워,영도구,봉래동2가,676.0,1992-06-05,34,471.0,0.6967455621301775,2.0,5.0,9.0,2,35.0945736176092,129.043307273236,부산광역시 영도구 대교로14번길 17,True,0.013313609467455622,345000000.0,13406735.751295336,-0.058663028649386106,0.01642857142857146,0.030169242089771897,477000000.0,-0.2767295597484277,249000000.0,0.3855421686746987,3.0,False,0.0,데이터 기반 노후단지
A60675901,영도대원,영도구,영선동4가,448.0,1991-01-05,35,358.0,0.7991071428571429,3.0,5.0,7.0,4,35.0823032131452,129.04406716788,부산광역시 영도구 남항새싹길 79,True,0.015625,,,,,,200000000.0,0.0,200000000.0,0.0,0.0,True,,데이터 기반 노후단지
A60680702,삼창파크타운5동6동,영도구,동삼동,183.0,1990-12-07,35,130.0,0.7103825136612022,0.0,1.0,1.0,4,35.0748134884244,129.072915379612,부산광역시 영도구 절영로 551,True,0.00546448087431694,,,,,-0.07210031347962387,170000000.0,-0.12941176470588234,148000000.0,0.0,1.0,True,,데이터 기반 노후단지
A60680703,경전,영도구,동삼동,224.0,1993-10-14,32,138.0,0.6160714285714286,1.0,1.0,5.0,6,35.0808965763072,129.071501974261,부산광역시 영도구 동삼동로 10,True,0.022321428571428572,155000000.0,5965014.577259475,,,-0.0064102564102563875,215000000.0,-0.2790697674418605,150000000.0,0.03333333333333344,1.0,True,-0.06060606060606055,데이터 기반 노후단지
